LogTime,Baseball,Gossiping,C_Chat,Golden-Award,Stock,Lifeismoney,LoL,NBA,KoreaStar,SportLottery
2024-11-23 22:25:37,23189,8621,3694,2550,1908,1579,1454,1321,952,823
2024-11-23 22:25:39,23189,8621,3694,2550,1908,1579,1454,1321,952,823
2024-11-23 22:25:42,23179,8648,3697,2565,1914,1578,1445,1301,951,826
2024-11-23 22:25:44,23144,8624,3702,2565,1919,1581,1454,1305,955,826
2024-11-23 22:25:46,23144,8624,3702,2565,1919,1581,1454,1305,955,826
2024-11-23 22:25:48,23139,8615,3697,2583,1913,1589,1443,1311,953,827
2024-11-23 22:25:49,23139,8615,3697,2583,1913,1589,1443,1311,953,827
2024-11-23 22:25:51,23139,8615,3697,2583,1913,1589,1443,1311,953,827
2024-11-23 22:25:54,23133,8620,3693,2591,1907,1586,1441,1300,953,835
2024-11-23 22:25:55,23123,8611,3700,2589,1908,1603,1432,1310,959,837
2024-11-23 22:25:57,23123,8611,3700,2589,1908,1603,1432,1310,959,837
2024-11-23 22:25:59,23123,8611,3700,2589,1908,1603,1432,1310,959,837
2024-11-23 22:26:01,23130,8612,3700,2586,1914,1604,1434,1313,968,826
2024-11-23 22:26:03,23129,8601,3691,2591,1910,1611,1433,1314,958,823
2024-11-23 22:26:06,23129,8601,3691,2591,1910,1611,1433,1314,958,823
2024-11-23 22:26:07,23129,8601,3691,2591,1910,1611,1433,1314,958,823
2024-11-23 22:26:09,23095,8613,3691,2591,1919,1607,1431,1318,953,826
2024-11-23 22:26:12,23073,8594,3695,2590,1926,1611,1421,1315,961,835
2024-11-23 22:26:13,23073,8594,3695,2590,1926,1611,1421,1315,961,835
2024-11-23 22:26:15,23073,8594,3695,2590,1926,1611,1421,1315,961,835
2024-11-23 22:26:17,23078,8558,3692,2586,1927,1612,1418,1316,951,838
2024-11-23 22:26:19,23054,8558,3691,2574,1920,1604,1421,1310,947,839
2024-11-23 22:26:22,23054,8558,3691,2574,1920,1604,1421,1310,947,839
2024-11-23 22:26:24,23076,8531,3691,2580,1924,1595,1422,1319,949,847
2024-11-23 22:26:27,23076,8531,3691,2580,1924,1595,1422,1319,949,847
2024-11-23 22:26:29,23077,8525,3684,2575,1916,1610,1426,1318,948,849
2024-11-23 22:26:33,23086,8523,3677,2569,1921,1609,1420,1323,955,849
2024-11-23 22:26:35,23086,8523,3677,2569,1921,1609,1420,1323,955,849
2024-11-23 22:26:37,23058,8506,3675,2565,1919,1608,1420,1329,953,850
2024-11-23 22:26:40,23058,8506,3675,2565,1919,1608,1420,1329,953,850
2024-11-23 22:26:42,23078,8506,3667,2565,1924,1609,1419,1337,957,852
2024-11-23 22:26:44,23042,8485,3665,2580,1923,1618,1421,1338,956,854
2024-11-23 22:26:46,23042,8485,3665,2580,1923,1618,1421,1338,956,854
2024-11-23 22:26:50,23054,8498,3671,2566,1922,1629,1416,1326,950,856
2024-11-23 22:26:53,23007,8488,3677,2552,1928,1634,1414,1326,954,859
2024-11-23 22:26:56,22996,8465,3668,2562,1925,1639,1410,1320,951,865
2024-11-23 22:27:00,22996,8465,3668,2562,1925,1639,1410,1320,951,865
2024-11-23 22:27:03,23014,8496,3661,2557,1928,1636,1400,1330,950,871
2024-11-23 22:27:06,23007,8485,3668,2562,1945,1623,1405,1326,953,877
2024-11-23 22:27:08,23015,8481,3657,2560,1951,1613,1401,1310,948,879
2024-11-23 22:27:13,23009,8484,3651,2548,1952,1604,1393,1310,947,882
2024-11-23 22:27:16,23009,8484,3651,2548,1952,1604,1393,1310,947,882
2024-11-23 22:27:18,23021,8496,3646,2558,1960,1606,1403,1308,952,889
2024-11-23 22:27:21,23014,8499,3649,2568,1953,1612,1407,1309,960,889
2024-11-23 22:27:23,23014,8499,3649,2568,1953,1612,1407,1309,960,889
2024-11-23 22:27:26,23020,8487,3645,2551,1954,1605,1401,1305,955,891
2024-11-23 22:27:28,23013,8502,3638,2546,1955,1617,1399,1308,954,890
2024-11-23 22:27:32,23013,8502,3638,2546,1955,1617,1399,1308,954,890
2024-11-23 22:27:34,23039,8516,3638,2545,1962,1622,1405,1300,963,889
2024-11-23 22:27:42,23047,8511,3618,2532,1952,1622,1428,1301,969,894
2024-11-23 22:27:44,23036,8508,3622,2525,1957,1617,1423,1306,962,900
2024-11-23 22:27:46,23036,8508,3622,2525,1957,1617,1423,1306,962,900
2024-11-23 22:27:49,23046,8498,3633,2530,1956,1620,1418,1304,967,899
2024-11-23 22:27:52,23046,8498,3633,2530,1956,1620,1418,1304,967,899
2024-11-23 22:27:53,23050,8495,3651,2527,1945,1627,1422,1310,966,902
2024-11-23 22:27:55,23050,8495,3651,2527,1945,1627,1422,1310,966,902
2024-11-23 22:27:58,23039,8510,3643,2532,1944,1634,1403,1308,960,901
2024-11-23 22:28:01,23051,8498,3638,2539,1945,1638,1402,1311,955,921
2024-11-23 22:28:04,23058,8477,3644,2535,1959,1640,1403,1313,954,934
2024-11-23 22:28:07,23058,8477,3644,2535,1959,1640,1403,1313,954,934
2024-11-23 22:28:08,23102,8491,3651,2537,1951,1636,1406,1311,954,933
2024-11-23 22:28:10,23102,8491,3651,2537,1951,1636,1406,1311,954,933
2024-11-23 22:28:13,23082,8504,3658,2541,1940,1639,1415,1307,961,940
2024-11-23 22:28:16,23092,8491,3666,2547,1935,1640,1413,1318,960,937
2024-11-23 22:28:21,23092,8491,3666,2547,1935,1640,1413,1318,960,937
2024-11-23 22:28:23,23072,8496,3665,2542,1937,1638,1411,1312,966,945
2024-11-23 22:28:25,23058,8490,3662,2539,1955,1640,1402,1308,969,953
2024-11-23 22:28:29,23066,8497,3664,2534,1943,1635,1409,1311,971,951
2024-11-23 22:28:31,23066,8497,3664,2534,1943,1635,1409,1311,971,951
2024-11-23 22:28:33,23075,8491,3667,2539,1948,1637,1408,1310,970,958
2024-11-23 22:28:35,23075,8491,3667,2539,1948,1637,1408,1310,970,958
2024-11-23 22:28:37,23052,8496,3665,2568,1955,1637,1405,1316,970,958
2024-11-23 22:28:39,23052,8496,3665,2568,1955,1637,1405,1316,970,958
2024-11-23 22:28:41,23056,8489,3661,2589,1958,1635,1411,1311,969,960
2024-11-23 22:28:44,23056,8489,3661,2589,1958,1635,1411,1311,969,960
2024-11-23 22:28:46,23035,8473,3654,2615,1955,1637,1404,1318,965,960
2024-11-23 22:28:50,23013,8492,3652,2627,1948,1634,1403,1304,962,955
2024-11-23 22:28:52,22999,8505,3652,2638,1939,1627,1405,1315,961,948
2024-11-23 22:28:54,22999,8505,3652,2638,1939,1627,1405,1315,961,948
2024-11-23 22:29:00,22976,8508,3648,2658,1952,1624,1407,1304,970,946
2024-11-23 22:29:03,22972,8486,3650,2665,1936,1630,1406,1308,974,941
2024-11-23 22:29:05,22974,8489,3649,2666,1941,1642,1413,1312,964,937
2024-11-23 22:29:08,22974,8489,3649,2666,1941,1642,1413,1312,964,937
2024-11-23 22:29:10,22968,8514,3648,2673,1945,1646,1410,1317,970,936
2024-11-23 22:29:12,22968,8514,3648,2673,1945,1646,1410,1317,970,936
2024-11-23 22:29:15,22971,8518,3655,2675,1949,1648,1407,1305,970,938
2024-11-23 22:29:17,22945,8528,3658,2698,1951,1640,1403,1300,970,933
2024-11-23 22:29:20,22945,8528,3658,2698,1951,1640,1403,1300,970,933
2024-11-23 22:29:23,22937,8527,3658,2713,1960,1647,1397,1294,973,927
2024-11-23 22:29:26,22898,8518,3651,2733,1958,1632,1397,1299,976,927
2024-11-23 22:29:29,22901,8531,3647,2726,1954,1638,1396,1312,968,924
2024-11-23 22:29:32,22901,8531,3647,2726,1954,1638,1396,1312,968,924
2024-11-23 22:29:36,22901,8517,3639,2747,1952,1636,1399,1322,971,925
2024-11-23 22:29:39,22913,8524,3638,2753,1952,1630,1397,1328,965,920
2024-11-23 22:29:42,22898,8522,3630,2757,1948,1626,1400,1336,965,914
2024-11-23 22:29:45,22898,8522,3630,2757,1948,1626,1400,1336,965,914
2024-11-23 22:29:47,22918,8555,3634,2762,1946,1632,1395,1338,970,911
2024-11-23 22:29:50,22929,8555,3648,2781,1946,1629,1391,1342,977,901
2024-11-23 22:29:52,22929,8555,3648,2781,1946,1629,1391,1342,977,901
2024-11-23 22:29:55,22899,8554,3647,2792,1928,1635,1386,1332,974,900
2024-11-23 22:29:58,22924,8542,3634,2803,1941,1630,1390,1330,980,892
2024-11-23 22:30:00,22924,8542,3634,2803,1941,1630,1390,1330,980,892
2024-11-23 22:30:02,22928,8535,3640,2805,1941,1630,1392,1334,974,900
2024-11-23 22:30:05,22928,8535,3640,2805,1941,1630,1392,1334,974,900
2024-11-23 22:30:07,22891,8551,3636,2810,1947,1631,1396,1329,980,889
2024-11-23 22:30:11,22902,8536,3640,2819,1942,1630,1401,1331,979,883
2024-11-23 22:30:13,22902,8536,3640,2819,1942,1630,1401,1331,979,883
2024-11-23 22:30:15,22884,8539,3626,2820,1935,1645,1409,1331,977,881
2024-11-23 22:30:17,22884,8539,3626,2820,1935,1645,1409,1331,977,881
2024-11-23 22:30:18,22931,8547,3625,2821,1948,1649,1416,1327,978,880
2024-11-23 22:30:21,22931,8547,3625,2821,1948,1649,1416,1327,978,880
2024-11-23 22:30:23,22896,8522,3631,2813,1943,1656,1423,1326,980,885
2024-11-23 22:30:25,22896,8522,3631,2813,1943,1656,1423,1326,980,885
2024-11-23 22:30:27,22879,8522,3633,2820,1954,1661,1425,1319,981,888
2024-11-23 22:30:29,22879,8522,3633,2820,1954,1661,1425,1319,981,888
2024-11-23 22:30:33,22651,8473,3619,2800,1941,1639,1419,1301,980,881
2024-11-23 22:30:35,22773,8509,3630,2809,1948,1634,1411,1314,987,893
2024-11-23 22:30:37,22773,8509,3630,2809,1948,1634,1411,1314,987,893
2024-11-23 22:30:39,22834,8536,3630,2822,1936,1630,1404,1312,990,890
2024-11-23 22:30:41,22834,8536,3630,2822,1936,1630,1404,1312,990,890
2024-11-23 22:30:42,22860,8538,3636,2840,1936,1636,1398,1317,990,888
2024-11-23 22:30:44,22860,8538,3636,2840,1936,1636,1398,1317,990,888
2024-11-23 22:30:46,22855,8523,3639,2855,1930,1634,1394,1315,985,891
2024-11-23 22:30:48,22855,8523,3639,2855,1930,1634,1394,1315,985,891
2024-11-23 22:30:50,22874,8515,3637,2840,1932,1647,1392,1304,983,891
2024-11-23 22:30:52,22874,8515,3637,2840,1932,1647,1392,1304,983,891
2024-11-23 22:30:54,22874,8515,3637,2840,1932,1647,1392,1304,983,891
2024-11-23 22:30:57,22851,8527,3629,2852,1934,1647,1391,1316,983,890
2024-11-23 22:31:00,22837,8558,3638,2870,1936,1647,1390,1302,980,886
2024-11-23 22:31:02,22837,8558,3638,2870,1936,1647,1390,1302,980,886
2024-11-23 22:31:05,22820,8550,3637,2878,1929,1648,1393,1306,980,887
2024-11-23 22:31:11,22791,8549,3638,2865,1944,1643,1395,1312,972,878
2024-11-23 22:31:13,22791,8549,3638,2865,1944,1643,1395,1312,972,878
2024-11-23 22:31:15,22781,8556,3643,2859,1946,1633,1406,1314,972,875
2024-11-23 22:31:18,22765,8559,3639,2859,1941,1646,1395,1303,970,874
2024-11-23 22:31:21,22765,8559,3639,2859,1941,1646,1395,1303,970,874
2024-11-23 22:31:23,22771,8571,3643,2864,1933,1634,1400,1311,967,875
2024-11-23 22:31:24,22771,8571,3643,2864,1933,1634,1400,1311,967,875
2024-11-23 22:31:26,22747,8581,3630,2857,1925,1645,1411,1318,962,872
2024-11-23 22:31:28,22747,8581,3630,2857,1925,1645,1411,1318,962,872
2024-11-23 22:31:31,22704,8589,3621,2861,1938,1645,1411,1321,971,875
2024-11-23 22:31:32,22704,8589,3621,2861,1938,1645,1411,1321,971,875
2024-11-23 22:31:34,22718,8590,3626,2872,1942,1650,1412,1329,971,875
2024-11-23 22:31:36,22718,8590,3626,2872,1942,1650,1412,1329,971,875
2024-11-23 22:31:38,22735,8580,3635,2871,1948,1650,1405,1317,976,877
2024-11-23 22:31:41,22735,8580,3635,2871,1948,1650,1405,1317,976,877
2024-11-23 22:31:44,22728,8589,3629,2870,1945,1646,1408,1329,979,886
2024-11-23 22:31:46,22728,8589,3629,2870,1945,1646,1408,1329,979,886
2024-11-23 22:31:48,22711,8558,3617,2865,1932,1628,1405,1321,980,882
2024-11-23 22:31:50,22704,8551,3617,2848,1938,1624,1415,1329,976,886
2024-11-23 22:31:52,22704,8551,3617,2848,1938,1624,1415,1329,976,886
2024-11-23 22:31:54,22704,8551,3617,2848,1938,1624,1415,1329,976,886
2024-11-23 22:31:56,22694,8569,3621,2857,1946,1632,1414,1319,979,878
2024-11-23 22:31:58,22694,8569,3621,2857,1946,1632,1414,1319,979,878
2024-11-23 22:32:00,22698,8572,3626,2857,1952,1636,1410,1318,975,888
2024-11-23 22:32:02,22703,8574,3620,2847,1951,1627,1412,1319,973,884
2024-11-23 22:32:04,22703,8574,3620,2847,1951,1627,1412,1319,973,884
2024-11-23 22:32:06,22703,8574,3620,2847,1951,1627,1412,1319,973,884
2024-11-23 22:32:08,22688,8601,3625,2840,1947,1626,1415,1323,981,891
2024-11-23 22:32:10,22689,8605,3626,2841,1956,1638,1426,1314,976,889
2024-11-23 22:32:14,22689,8605,3626,2841,1956,1638,1426,1314,976,889
2024-11-23 22:32:16,22679,8607,3631,2827,1963,1651,1425,1312,974,897
2024-11-23 22:32:18,22679,8607,3631,2827,1963,1651,1425,1312,974,897
2024-11-23 22:32:22,22658,8609,3648,2814,1971,1638,1414,1311,984,895
2024-11-23 22:32:24,22633,8627,3650,2805,1975,1638,1419,1316,989,895
2024-11-23 22:32:26,22633,8627,3650,2805,1975,1638,1419,1316,989,895
2024-11-23 22:32:28,22656,8623,3672,2808,1957,1638,1410,1318,986,900
2024-11-23 22:32:31,22673,8618,3676,2806,1947,1634,1412,1314,990,894
2024-11-23 22:32:32,22673,8618,3676,2806,1947,1634,1412,1314,990,894
2024-11-23 22:32:34,22673,8618,3676,2806,1947,1634,1412,1314,990,894
2024-11-23 22:32:36,22659,8612,3676,2796,1936,1630,1409,1317,995,886
2024-11-23 22:32:38,22659,8612,3676,2796,1936,1630,1409,1317,995,886
2024-11-23 22:32:40,22652,8592,3675,2792,1940,1635,1411,1322,997,882
2024-11-23 22:32:41,22652,8592,3675,2792,1940,1635,1411,1322,997,882
2024-11-23 22:32:43,22666,8621,3672,2791,1932,1628,1403,1323,1002,883
2024-11-23 22:32:45,22666,8621,3672,2791,1932,1628,1403,1323,1002,883
2024-11-23 22:32:47,22673,8636,3676,2772,1926,1625,1409,1317,1006,888
2024-11-23 22:32:48,22673,8636,3676,2772,1926,1625,1409,1317,1006,888
2024-11-23 22:32:50,22673,8636,3676,2772,1926,1625,1409,1317,1006,888
2024-11-23 22:32:52,22656,8616,3675,2756,1925,1625,1413,1311,1005,886
2024-11-23 22:32:54,22656,8616,3675,2756,1925,1625,1413,1311,1005,886
2024-11-23 22:32:56,22676,8612,3687,2753,1914,1615,1416,1322,1007,882
2024-11-23 22:32:57,22676,8612,3687,2753,1914,1615,1416,1322,1007,882
2024-11-23 22:32:59,22678,8606,3695,2756,1914,1607,1411,1327,1013,879
2024-11-23 22:33:01,22678,8606,3695,2756,1914,1607,1411,1327,1013,879
2024-11-23 22:33:03,22654,8615,3704,2761,1924,1608,1412,1310,1009,874
2024-11-23 22:33:05,22654,8615,3704,2761,1924,1608,1412,1310,1009,874
2024-11-23 22:33:07,22663,8593,3689,2759,1915,1610,1405,1317,1016,878
2024-11-23 22:33:09,22663,8593,3689,2759,1915,1610,1405,1317,1016,878
2024-11-23 22:33:11,22663,8579,3682,2745,1910,1614,1411,1324,1022,881
2024-11-23 22:33:13,22663,8579,3682,2745,1910,1614,1411,1324,1022,881
2024-11-23 22:33:14,22670,8570,3686,2742,1915,1624,1410,1325,1026,885
2024-11-23 22:33:16,22670,8570,3686,2742,1915,1624,1410,1325,1026,885
2024-11-23 22:33:18,22670,8570,3686,2742,1915,1624,1410,1325,1026,885
2024-11-23 22:33:20,22648,8584,3678,2738,1918,1627,1418,1329,1018,877
2024-11-23 22:33:22,22648,8584,3678,2738,1918,1627,1418,1329,1018,877
2024-11-23 22:33:24,22653,8566,3666,2730,1907,1630,1416,1325,1018,877
2024-11-23 22:33:26,22653,8566,3666,2730,1907,1630,1416,1325,1018,877
2024-11-23 22:33:28,22660,8566,3656,2723,1907,1631,1422,1321,1021,865
2024-11-23 22:33:30,22660,8566,3656,2723,1907,1631,1422,1321,1021,865
